Jitter,Shimmer,HNR,NHR,VTL,VFER,GNE,GQ,F0,F1,F2,F3,Label
2.099447513812156e-06,0.002154777,9.068368983836441,0.09932095273875839,26.65,0.9999996961228037,0.8858562351388201,0.6427152340569475,184.66,328.37,2179.88,3172.8,1
8.679245283018871e-06,0.0034386977,18.94572061085597,0.050136067756595584,12.99,0.9999999668378359,0.9873876430959658,0.5597917846409975,127.18,673.84,1019.07,2343.1,1
0.0,0.0023597896,27.191110582509168,0.0354721747152607,29.65,0.9999999556407473,0.9980515943504927,0.5947013760349474,146.26,295.11,982.22,2693.26,1
1.1978609625668453e-05,0.0138881095,16.15243855670198,0.05830074812361124,9.73,0.9583333145149103,0.9761284994283622,0.6638645398427736,275.49,899.0,1368.26,3226.42,1
0.0003921739130434783,0.010423532,19.53271781408403,0.048702758643771396,21.3,0.7857132078613143,0.9755770611546632,0.5790015557178273,228.25,410.77,1777.03,2909.8,1
6.1176470588235455e-06,0.003752226,21.70879533254931,0.04403580134286846,19.08,0.9999999727882071,0.9932781743408347,0.6969129557748313,335.51,458.53,971.61,3168.1,1
2.504587155963303e-05,0.009293023,20.989789988372518,0.04547565031447628,21.95,0.9285714153166432,0.9919706638182644,0.69506502473389,362.58,398.6,2194.1,3085.2,1
0.0001544950495049505,0.006553543,22.657333615502058,0.04227019055709326,17.85,0.6397796637597523,0.9904453848042479,0.7675813171542964,213.83,490.28,1948.82,3011.33,1
6.138613861386151e-06,0.0068220384,13.942528829292979,0.0669230765035985,8.92,0.9999999900453922,0.9611467356231579,0.49975769436453354,339.69,980.48,1657.64,2932.37,1
0.0,0.0029623096,23.47752217157315,0.04085380836305993,32.35,0.9999999615302997,0.9955031074657194,0.517382351147177,198.64,270.49,2360.41,2967.65,1
0.0003347058823529411,0.012797187,19.00463406310992,0.049988417525920995,13.07,0.828571416789808,0.9874446455483825,0.6843053229181132,260.74,669.31,995.89,2061.18,1
4.651162790697672e-06,0.0053107683,20.56543424929327,0.04637050144412332,19.06,0.9999999869772406,0.991245730761897,0.5948161263920685,262.58,459.15,807.83,2838.28,1
4.361333333333333e-05,0.009582113,22.946693378253954,0.04175941889781335,15.69,0.5076922156957688,0.9906082321707802,0.6842581472015709,263.92,557.55,2113.35,3149.93,1
2.2033898305084803e-06,0.0051822984,20.896736098208283,0.045668906795740476,24.4,0.9999999958693234,0.9918848241373104,0.782603814155845,350.51,358.55,2399.12,2879.89,1
3.400000000000009e-06,0.0048172,18.60364265746356,0.051010927788937066,19.69,0.9999999811753723,0.9859072150478234,0.5887481567697616,262.9,444.44,2655.6,3444.16,1
9.777777777777778e-05,0.010166121,16.64061250007188,0.056687374091796715,11.69,0.9999999953573664,0.9787686664004567,0.6088667347734131,241.37,748.62,1233.02,2510.77,1
5.590062111801244e-06,0.003987946,18.114213234807572,0.052317089263133734,12.7,0.9999999824000718,0.9847801005287592,0.6526794837791235,106.77,688.72,1152.05,2159.02,1
0.00028437869822485213,0.028201474,19.381026809771125,0.04906524138031051,18.53,0.8045974779337388,0.9588980499365825,0.43482541942334807,122.14,472.18,1726.93,2768.98,1
8.078817733990152e-06,0.014279069,24.34690689102054,0.039452545602487794,21.8,0.9999999852560431,0.9963040516099195,0.7292008662941032,203.69,401.46,835.58,2453.98,1
1.551724137931035e-05,0.0071579507,22.816969683875058,0.0419868695838764,22.67,0.9333333264568725,0.9947520531271775,0.6901656702775848,269.75,385.92,916.76,2594.08,1
5.409836065573752e-06,0.010108823,23.757896769131733,0.040391153147015496,26.36,0.9999999827422875,0.9957750981691685,0.6626612683519351,253.66,332.0,0.0,2465.05,1
5.409836065573752e-06,0.010108823,23.757896769131733,0.040391153147015496,26.36,0.9999999827422875,0.9957750981691685,0.6626612683519351,253.66,332.0,0.0,2465.05,1
5.2319201995012464e-05,0.007776113,20.718296050749135,0.04604412784793523,13.84,0.5072778572818664,0.9884142070107751,0.4792583561620804,277.5,632.35,2081.04,3224.94,1
4.705882352941189e-06,0.014595331,24.403497939155084,0.039364657670181456,21.67,0.9999999843830221,0.9963591714575201,0.6256762006781537,198.22,403.73,813.57,2348.9,1
5.763779527559055e-05,0.0048926645,17.742252677493767,0.05335537927096824,12.08,0.9999999930953983,0.9834432645939908,0.610051007764494,125.92,724.52,1128.57,2265.33,1
7.540983606557375e-06,0.009735608,16.320404702302053,0.057735371498974855,10.17,0.9999999957741567,0.9771634076167007,0.701107304322866,252.99,860.05,1367.46,2753.07,1
0.0,0.0039022537,17.004555464909597,0.05554149903611748,20.78,0.9999999326372803,0.9801623908846874,0.6620601426488305,225.15,421.04,2466.76,3172.9,1
2.462962962962963e-05,0.014333654,22.700474890076254,0.042193247377448756,18.96,0.9272727146274168,0.9942145311752443,0.64465101168768,414.28,461.6,1094.44,2965.56,1
0.0,0.0051111556,21.685105971675064,0.044081786580526174,18.93,0.9999999893864536,0.9932385656860844,0.6158658956625717,246.96,462.24,861.38,2929.44,1
0.00011414090782511836,0.011880049,22.57692461565171,0.04241435285992062,17.86,0.6758767177701159,0.9925260709466616,0.6352003784400679,213.6,489.85,1730.47,2811.66,1
0.00031647058823529414,0.0204356,21.487237761559058,0.04446966811145902,17.72,0.5909088377101135,0.9877041453863258,0.5308178375367888,245.73,493.8,1871.66,2885.69,1
0.0,0.004103574,23.32522295578295,0.04110959236911188,23.86,0.9999999853757161,0.9953147734403168,0.5520847997228756,220.7,366.75,2424.94,3229.32,1
0.0,0.0037939341,25.27645630354093,0.03805688211713858,29.94,0.9999999561200206,0.996965474834734,0.7006309884329139,102.29,292.27,2529.32,3616.05,1
5.494505494505509e-06,0.0054405127,23.776317239620106,0.040361123500666514,24.56,0.9999999966036441,0.9957920493015675,0.606389440365795,313.88,356.25,929.32,2824.67,1
0.0001664864864864865,0.0032938365,25.47927099890516,0.03776539014391095,25.74,0.9999999833986447,0.9971443088153493,0.6172201478738975,175.84,339.9,920.87,3150.25,1
0.0,0.002649644,25.89755585255491,0.03717809921026759,29.64,0.9999999752812647,0.9974088429576607,0.6059092775265842,224.53,295.23,0.0,2676.34,1
7.037037037037048e-06,0.0031996362,19.64626789969212,0.04843490382176588,29.57,0.999999978707071,0.9890557238498131,0.5960597785425246,276.11,295.94,2390.78,3096.9,1
1.568e-05,0.0075842286,14.56443929689257,0.06424902181986404,22.98,0.9374999711084124,0.9647838193265307,0.5994485838824108,268.73,380.84,2668.19,3186.39,1
2.1566265060240958e-05,0.0042502163,18.685008288934625,0.050800080209370393,12.77,0.9999999258155791,0.98658484436586,0.7301044458925309,101.14,685.09,1080.52,2210.93,1
2.824561403508771e-05,0.014072619,17.720325232596167,0.05341787536141637,10.72,0.9316239252783473,0.9830579224346823,0.543273167979465,348.47,816.19,1229.49,3322.45,1
0.0,0.0024939643,24.967644567655242,0.03850946116405102,23.19,0.9999999818194077,0.9968027550602818,0.6525246405312658,130.98,377.39,991.78,2586.44,1
0.00011088047220855879,0.007922068,20.7554254917174,0.045965545485686515,15.08,0.585019984273401,0.9886379716246108,0.549165865547542,266.16,580.24,1953.4,3167.9,1
5.769230769230776e-06,0.00454976,21.131052280065685,0.04518537968032996,20.34,0.9999999567583762,0.9923066877767387,0.49421164912314663,261.87,430.26,807.38,2983.68,1
5.1959163830821585e-05,0.006366563,22.52982678586932,0.042499250381245614,18.71,0.6470174886491376,0.9923706435778784,0.5200934265952686,116.87,467.56,1730.33,2873.43,1
0.0,0.0067569898,24.064371632482793,0.03989726990418644,21.85,0.9999999818453199,0.9960672962461095,0.5691158060487762,229.95,400.42,847.21,2828.72,1
2.032085561497327e-05,0.0052232384,18.12220001627385,0.05229523795112252,22.0,0.9583332784347682,0.9826421048578244,0.6835839291289053,289.44,397.74,2541.61,3121.88,1
0.00027921951219512197,0.0040769996,19.380795298352428,0.0490657987267474,33.71,0.9999999760759779,0.9879683412006826,0.6104419780145077,108.88,259.54,2232.75,2706.5,1
4.027777777777788e-06,0.0120317675,15.0848240332298,0.06217040347684811,9.59,0.9999999880841597,0.9699074161663597,0.4891885245524575,263.61,912.86,1565.84,3002.81,1
2.884615384615392e-06,0.005098783,22.16818096634993,0.04316264627993135,20.18,0.9999999954719639,0.9939444802382282,0.6330003618452323,316.67,433.69,819.41,3126.77,1
8.711656441717814e-06,0.005419772,21.896538736426496,0.043674723568985684,30.31,0.9999999912653318,0.9934284802889276,0.6501023733575351,261.3,288.69,2368.57,3008.45,1
6.608695652173926e-06,0.004323147,21.60445044057425,0.04423907595669889,25.01,0.9999999933839633,0.9930032550606016,0.5291329839625764,315.18,349.84,2425.51,2856.94,1
3.5806451612903225e-05,0.011076404,23.905832111460448,0.04015123829329311,24.65,0.8749999845890335,0.9958282327171868,0.590368187832183,281.06,354.95,2462.56,3070.3,1
0.0,0.018208923,24.218646335967467,0.03965319893374986,20.91,0.9999999901788139,0.9962046157736577,0.6999716626196307,232.24,418.49,863.79,2539.28,1
5.409836065573752e-06,0.010108823,23.757896769131733,0.040391153147015496,26.36,0.9999999827422875,0.9957750981691685,0.6626612683519351,253.66,332.0,0.0,2465.05,1
3.165217391304349e-05,0.007170304,18.025931867194323,0.05255984342739402,12.39,0.9999999931052019,0.9844458082620392,0.5551492807673802,149.31,706.42,1151.54,2105.47,1
